Body Shape,Clothing Category,Clothing Type,Occasion
Hourglass,Outerwear,Faux fur coat,Party
Apple,Dresses,Shift dress,Formal
Hourglass,Outerwear,Peplum jacket,Workwear
Hourglass,Dresses,Mermaid gown,Workwear
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Party
Apple,Outerwear,Belted jacket,Party
Apple,Outerwear,Draped coat,Workwear
Hourglass,Outerwear,Belted coat,Workwear
Apple,Bottoms,Dark-wash jeans,Casual
Pear,Indian Ethnic Wear,Saree with heavy pallu,Streetwear
Rectangle,Indian Ethnic Wear,Sharara suit,Formal
Pear,Bottoms,Midi skirt,Casual
Pear,Tops,Off-shoulder blouse,Formal
Apple,Dresses,Shift dress,Casual
Hourglass,Tops,Fitted blouse,Workwear
Pear,Indian Ethnic Wear,Sharara suit,Party
Inverted Triangle,Outerwear,Straight-cut coat,Party
Hourglass,Outerwear,Leather trench,Casual
Rectangle,Tops,Belted shirt,Party
Hourglass,Dresses,Fit-and-flare dress,Workwear
Apple,Bottoms,High-waisted pants,Workwear
Hourglass,Outerwear,Long trench coat,Streetwear
Inverted Triangle,Bottoms,Bias-cut midi skirt,Streetwear
Rectangle,Tops,Cold-shoulder top,Streetwear
Hourglass,Indian Ethnic Wear,Straight-cut salwar kameez,Party
Hourglass,Bottoms,Fishtail skirt,Streetwear
Rectangle,Outerwear,Denim trench coat,Workwear
Rectangle,Tops,Cold-shoulder top,Workwear
Rectangle,Bottoms,Pleated skirt,Workwear
Inverted Triangle,Outerwear,Trench coat,Party
Hourglass,Outerwear,Peplum jacket,Streetwear
Rectangle,Dresses,Tulle dress,Party
Hourglass,Bottoms,Wide belt trousers,Workwear
Rectangle,Tops,Belted shirt,Formal
Pear,Outerwear,Denim jacket,Party
Pear,Bottoms,Bootcut jeans,Formal
Rectangle,Bottoms,Culottes,Formal
Inverted Triangle,Outerwear,Straight-cut coat,Party
Inverted Triangle,Tops,V-neck top,Streetwear
Rectangle,Dresses,Layered maxi dress,Formal
Pear,Bottoms,Pleated trousers,Workwear
Hourglass,Bottoms,Wide belt trousers,Casual
Apple,Outerwear,Open-front cardigan,Streetwear
Pear,Outerwear,Peplum coat,Casual
Pear,Tops,Puffed sleeve top,Casual
Rectangle,Bottoms,Paperbag trousers,Formal
Apple,Bottoms,Dark-wash jeans,Workwear
Hourglass,Bottoms,Fitted trousers,Streetwear
Apple,Indian Ethnic Wear,Saree with light fabric,Formal
Apple,Dresses,Maxi dress,Formal
Inverted Triangle,Tops,Dolman sleeve blouse,Party
Pear,Bottoms,Pleated trousers,Party
Apple,Tops,Flowy tunic,Formal
Hourglass,Indian Ethnic Wear,Corset-style choli with lehenga,Casual
Inverted Triangle,Bottoms,Bias-cut midi skirt,Casual
Rectangle,Dresses,Wrap dress,Casual
Inverted Triangle,Dresses,Tunic dress,Casual
Pear,Indian Ethnic Wear,Saree with heavy pallu,Streetwear
Rectangle,Outerwear,Bomber jacket,Party
Hourglass,Bottoms,Tulip skirt,Formal
Hourglass,Outerwear,Leather trench,Party
Inverted Triangle,Outerwear,Duster coat,Formal
Apple,Tops,Empire waist top,Streetwear
Rectangle,Dresses,Peplum dress,Casual
Inverted Triangle,Bottoms,Flared pants,Casual
Pear,Tops,Tunic with embellishments,Workwear
Rectangle,Bottoms,Pleated skirt,Formal
Hourglass,Bottoms,Pencil skirt,Streetwear
Apple,Bottoms,Bootcut jeans,Streetwear
Hourglass,Outerwear,Faux fur coat,Party
Inverted Triangle,Bottoms,Cargo pants,Casual
Apple,Indian Ethnic Wear,Anarkali suit,Streetwear
Inverted Triangle,Bottoms,Wide-leg trousers,Party
Rectangle,Dresses,Tulle dress,Workwear
Rectangle,Bottoms,Cargo pants,Formal
Apple,Tops,Wrap top,Formal
Pear,Outerwear,Embellished blazer,Streetwear
Rectangle,Dresses,Sheath dress,Formal
Inverted Triangle,Outerwear,Cape coat,Workwear
Rectangle,Outerwear,Cropped cardigan,Casual
Rectangle,Indian Ethnic Wear,Jacket-style lehenga,Streetwear
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Formal
Pear,Indian Ethnic Wear,Straight-cut kurta,Streetwear
Hourglass,Indian Ethnic Wear,Fitted Anarkali,Formal
Rectangle,Indian Ethnic Wear,Angrakha suit,Streetwear
Apple,Bottoms,A-line skirt,Casual
Rectangle,Outerwear,Cropped cardigan,Streetwear
Hourglass,Outerwear,Peplum jacket,Casual
Hourglass,Outerwear,Faux fur coat,Casual
Apple,Outerwear,Belted jacket,Casual
Rectangle,Bottoms,Bermuda shorts,Party
Hourglass,Dresses,Wrap dress,Formal
Apple,Bottoms,A-line skirt,Workwear
Apple,Dresses,A-line dress,Party
Apple,Bottoms,Flared trousers,Formal
Hourglass,Outerwear,Belted coat,Casual
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Casual
Rectangle,Tops,Peplum top,Party
Inverted Triangle,Dresses,Fit-and-flare dress,Formal
Apple,Indian Ethnic Wear,Straight-cut salwar suit,Formal
Hourglass,Dresses,Slit maxi dress,Formal
Rectangle,Dresses,Sheath dress,Streetwear
Inverted Triangle,Bottoms,Bias-cut midi skirt,Workwear
Apple,Tops,Empire waist top,Casual
Inverted Triangle,Indian Ethnic Wear,A-line kurta,Casual
Apple,Tops,V-neck blouse,Workwear
Hourglass,Bottoms,High-waisted jeans,Streetwear
Hourglass,Tops,Sweetheart neckline top,Streetwear
Hourglass,Indian Ethnic Wear,Corset-style choli with lehenga,Party
Inverted Triangle,Indian Ethnic Wear,Gown-style Anarkali,Party
Apple,Indian Ethnic Wear,Anarkali suit,Workwear
Pear,Outerwear,Cape-style coat,Party
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Streetwear
Inverted Triangle,Tops,Kimono sleeve top,Party
Pear,Tops,Structured blazer,Formal
Apple,Dresses,A-line dress,Streetwear
Inverted Triangle,Tops,Tie-front blouse,Casual
Hourglass,Indian Ethnic Wear,Straight-cut salwar kameez,Workwear
Rectangle,Bottoms,Bermuda shorts,Workwear
Rectangle,Dresses,Ruched bodycon dress,Streetwear
Pear,Indian Ethnic Wear,Lehenga with fitted top,Casual
Pear,Indian Ethnic Wear,Floor-length gown with dupatta,Streetwear
Pear,Outerwear,Cropped jacket,Workwear
Rectangle,Indian Ethnic Wear,Layered Anarkali,Workwear
Hourglass,Outerwear,Belted coat,Streetwear
Rectangle,Dresses,Layered maxi dress,Party
Inverted Triangle,Dresses,Fit-and-flare dress,Workwear
Inverted Triangle,Dresses,Tea-length dress,Party
Pear,Indian Ethnic Wear,Sharara suit,Workwear
Pear,Tops,Boat neck top,Workwear
Rectangle,Tops,Ruffled blouse,Party
Inverted Triangle,Bottoms,Bias-cut midi skirt,Casual
Pear,Indian Ethnic Wear,Sharara suit,Streetwear
Hourglass,Indian Ethnic Wear,Saree with cinched waist,Casual
Apple,Dresses,Empire waist dress,Casual
Hourglass,Outerwear,Belted coat,Casual
Inverted Triangle,Tops,Dolman sleeve blouse,Workwear
Hourglass,Outerwear,Faux fur coat,Workwear
Pear,Tops,Puffed sleeve top,Party
Rectangle,Dresses,Ruched bodycon dress,Casual
Apple,Bottoms,High-waisted pants,Streetwear
Inverted Triangle,Tops,V-neck top,Casual
Inverted Triangle,Dresses,A-line dress,Party
Pear,Bottoms,Flared skirt,Streetwear
Pear,Bottoms,Flared skirt,Party
Inverted Triangle,Tops,V-neck top,Streetwear
Pear,Dresses,A-line dress,Casual
Hourglass,Outerwear,Leather trench,Workwear
Inverted Triangle,Tops,Wrap top,Workwear
Inverted Triangle,Indian Ethnic Wear,Cape lehenga,Casual
Hourglass,Indian Ethnic Wear,Saree with cinched waist,Party
Pear,Bottoms,Palazzo pants,Casual
Hourglass,Bottoms,High-waisted jeans,Casual
Rectangle,Dresses,Peplum dress,Casual
Hourglass,Indian Ethnic Wear,Gown-style lehenga,Streetwear
Pear,Outerwear,Embellished blazer,Party
Inverted Triangle,Dresses,Tea-length dress,Workwear
Inverted Triangle,Dresses,Slit dress,Formal
Hourglass,Dresses,Off-shoulder dress,Casual
Inverted Triangle,Bottoms,Wide-leg trousers,Workwear
Inverted Triangle,Bottoms,Bias-cut midi skirt,Workwear
Inverted Triangle,Dresses,Tunic dress,Casual
Pear,Outerwear,Embellished blazer,Formal
Apple,Indian Ethnic Wear,Anarkali suit,Streetwear
Hourglass,Dresses,Mermaid gown,Workwear
Apple,Dresses,Wrap dress,Party
Hourglass,Dresses,Fit-and-flare dress,Casual
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Streetwear
Inverted Triangle,Dresses,Tea-length dress,Party
Apple,Outerwear,Belted jacket,Workwear
Rectangle,Outerwear,Bomber jacket,Workwear
Pear,Outerwear,Embellished blazer,Party
Rectangle,Tops,Asymmetrical top,Party
Apple,Dresses,A-line dress,Party
Apple,Outerwear,Open-front cardigan,Streetwear
Rectangle,Bottoms,Cargo pants,Workwear
Apple,Bottoms,Straight-leg trousers,Party
Hourglass,Bottoms,Tulip skirt,Casual
Inverted Triangle,Bottoms,Wide-leg trousers,Casual
Rectangle,Tops,Ruffled blouse,Party
Inverted Triangle,Dresses,Tunic dress,Casual
Apple,Tops,Peplum blouse,Workwear
Hourglass,Outerwear,Fitted blazer,Party
Rectangle,Dresses,Ruched bodycon dress,Party
Hourglass,Bottoms,Fitted trousers,Formal
Pear,Outerwear,Denim jacket,Casual
Inverted Triangle,Indian Ethnic Wear,Saree draped with soft pleats,Workwear
